39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40,0, <=50K
21, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40,36, <=50K
19, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25,37, <=50K
31, Private,84154, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,38,38, >50K
48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,39, <=50K
31, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43,40, <=50K
53, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,41, <=50K
24, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50,42, <=50K
49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40,43, <=50K
25, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35,44, <=50K
57, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40,45, >50K
53, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38,46, <=50K
44, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40,47, <=50K
41, State-gov,101603, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,48, <=50K
29, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43,49, <=50K
25, Private,32275, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40,50, <=50K
18, Private,226956, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30,51, <=50K
47, Private,51835, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60,52, >50K
50, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55,53, >50K
47, Self-emp-inc,109832, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60,54, <=50K
43, Private,237993, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40,55, >50K
46, Private,216666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,56, <=50K
35, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40,57, <=50K
41, Private,147372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48,58, <=50K
30, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40,59, <=50K
30, Private,59496, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40,60, <=50K
32, ?,293936, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,40,61, <=50K
48, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40,62, <=50K
42, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45,63, >50K
29, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58,64, <=50K
36, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,65, <=50K
28, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40,66, <=50K
53, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40,67, >50K
49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50,68, >50K
25, ?,200681, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40,69, <=50K
19, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32,70, <=50K
31, Private,309974, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,0,40,71, <=50K
29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70,72, >50K
23, Private,211678, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40,73, <=50K
79, Private,124744, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20,74, <=50K
27, Private,213921, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40,75, <=50K
40, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40,76, <=50K
67, ?,212759, 10th,6, Married-civ-spouse, ?, Husband, White, Male,0,0,2,77, <=50K
18, Private,309634, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,22,78, <=50K
31, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40,79, <=50K
18, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30,80, <=50K
52, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40,81, <=50K
46, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40,82, <=50K
59, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48,83, <=50K
44, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40,84, >50K
53, Private,346253, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,35,85, <=50K
49, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40,86, >50K
33, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50,87, <=50K
30, Private,54334, 9th,5, Never-married, Sales, Not-in-family, White, Male,0,0,40,88, <=50K
43, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50,89, >50K
57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,90, <=50K
37, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40,91, <=50K
28, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25,92, <=50K
30, Private,117747, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1573,35,93, <=50K
34, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40,94, >50K
29, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50,95, <=50K
48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60,96, >50K
37, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48,97, >50K
48, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40,98, <=50K
32, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40,99, <=50K
76, Private,124191, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,100, >50K
44, Private,198282, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60,101, >50K
47, Self-emp-not-inc,149116, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50,102, <=50K
20, Private,188300, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40,103, <=50K
29, Private,103432, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40,104, <=50K
32, Self-emp-inc,317660, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40,105, >50K
17, ?,304873, 10th,6, Never-married, ?, Own-child, White, Female,34095,0,32,106, <=50K
30, Private,194901, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40,107, <=50K
31, Local-gov,189265, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40,108, <=50K
42, Private,124692, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40,109, <=50K
24, Private,432376, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40,110, <=50K
38, Private,65324, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,111, >50K
56, Self-emp-not-inc,335605, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50,112, >50K
28, Private,377869, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25,113, <=50K
36, Private,102864, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40,114, <=50K
53, Private,95647, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50,115, <=50K
56, Self-emp-inc,303090, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50,116, <=50K
49, Local-gov,197371, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40,117, >50K
55, Private,247552, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56,118, <=50K
22, Private,102632, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41,119, <=50K
21, Private,199915, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40,120, <=50K
40, Private,118853, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60,121, <=50K
30, Private,77143, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40,122, <=50K
29, State-gov,267989, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50,123, >50K
19, Private,301606, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,35,124, <=50K
47, Private,287828, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40,125, >50K
20, Private,111697, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28,126, <=50K
31, Private,114937, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40,127, >50K
35, ?,129305, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40,128, <=50K
39, Private,365739, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40,129, <=50K
28, Private,69621, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,60,130, <=50K
24, Private,43323, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40,131, <=50K
38, Self-emp-not-inc,120985, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35,132, <=50K
37, Private,254202, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50,133, <=50K
46, Private,146195, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36,134, <=50K
38, Federal-gov,125933, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,135, >50K
43, Self-emp-not-inc,56920, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60,136, <=50K
27, Private,163127, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35,137, <=50K
20, Private,34310, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20,138, <=50K
49, Private,81973, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40,139, >50K
61, Self-emp-inc,66614, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,140, <=50K
27, Private,232782, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40,141, <=50K
19, Private,316868, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,30,142, <=50K
45, Private,196584, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40,143, >50K
70, Private,105376, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40,144, <=50K
31, Private,185814, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30,145, <=50K
22, Private,175374, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24,146, <=50K
36, Private,108293, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,24,147, <=50K
64, Private,181232, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40,148, <=50K
43, ?,174662, Some-college,10, Divorced, ?, Not-in-family, White, Female,0,0,40,149, <=50K
47, Local-gov,186009, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38,150, <=50K
34, Private,198183, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40,151, <=50K
33, Private,163003, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40,152, <=50K
21, Private,296158, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35,153, <=50K
52, ?,252903, HS-grad,9, Divorced, ?, Not-in-family, White, Male,0,0,45,154, >50K
48, Private,187715, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46,155, <=50K
23, Private,214542, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40,156, <=50K
71, Self-emp-not-inc,494223, Some-college,10, Separated, Sales, Unmarried, Black, Male,0,1816,2,157, <=50K
29, Private,191535, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60,158, <=50K
42, Private,228456, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0,0,50,159, <=50K
68, ?,38317, 1st-4th,2, Divorced, ?, Not-in-family, White, Female,0,0,20,160, <=50K
25, Private,252752, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,40,161, <=50K
44, Self-emp-inc,78374, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40,162, <=50K
28, Private,88419, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40,163, <=50K
45, Self-emp-not-inc,201080, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40,164, >50K
36, Private,207157, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,40,165, <=50K
39, Federal-gov,235485, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42,166, <=50K
46, State-gov,102628, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40,167, <=50K
18, Private,25828, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16,168, <=50K
66, Local-gov,54826, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20,169, <=50K
27, Private,124953, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40,170, <=50K
28, State-gov,175325, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40,171, <=50K
51, Private,96062, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40,172, >50K
27, Private,428030, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50,173, <=50K
28, State-gov,149624, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,174, >50K
27, Private,253814, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25,175, <=50K
21, Private,312956, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40,176, <=50K
34, Private,483777, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40,177, <=50K
18, Private,183930, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,12,178, <=50K
33, Private,37274, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65,179, <=50K
44, Local-gov,181344, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38,180, >50K
43, Private,114580, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40,181, <=50K
30, Private,633742, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45,182, <=50K
40, Private,286370, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,183, >50K
37, Federal-gov,29054, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42,184, >50K
34, Private,304030, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40,185, <=50K
41, Self-emp-not-inc,143129, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40,186, <=50K
53, ?,135105, Bachelors,13, Divorced, ?, Not-in-family, White, Female,0,0,50,187, <=50K
31, Private,99928, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50,188, <=50K
58, State-gov,109567, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1,189, >50K
38, Private,155222, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28,190, <=50K
24, Private,159567, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,191, <=50K
41, Local-gov,523910, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40,192, <=50K
47, Private,120939, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45,193, <=50K
41, Federal-gov,130760, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24,194, <=50K
23, Private,197387, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40,195, <=50K
36, Private,99374, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40,196, <=50K
40, Federal-gov,56795, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55,197, >50K
35, Private,138992, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40,198, >50K
24, Self-emp-not-inc,32921, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40,199, <=50K
26, Private,397317, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40,200, <=50K
19, ?,170653, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,40,201, <=50K
51, Private,259323, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50,202, >50K
42, Local-gov,254817, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40,203, <=50K
37, State-gov,48211, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35,204, <=50K
18, Private,140164, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,40,205, <=50K
36, Private,128757, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36,206, >50K
35, Private,36270, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60,207, <=50K
58, Self-emp-inc,210563, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35,208, >50K
17, Private,65368, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,12,209, <=50K
44, Local-gov,160943, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40,210, <=50K
37, Private,208358, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,211, >50K
35, Private,153790, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40,212, <=50K
60, Private,85815, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40,213, <=50K
54, Self-emp-inc,125417, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,214, >50K
37, Private,635913, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60,215, >50K
50, Private,313321, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0,0,40,216, <=50K
38, Private,182609, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50,217, <=50K
45, Private,109434, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55,218, <=50K
25, Private,255004, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40,219, <=50K
31, Private,197860, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40,220, <=50K
64, ?,187656, 1st-4th,2, Divorced, ?, Not-in-family, White, Male,0,0,40,221, <=50K
90, Private,51744, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40,222, <=50K
54, Private,176681, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20,223, <=50K
53, Local-gov,140359, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35,224, <=50K
18, Private,243313, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,40,225, <=50K
60, ?,24215, 10th,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10,226, <=50K
66, Self-emp-not-inc,167687, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50,227, <=50K
75, Private,314209, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20,228, <=50K
65, Private,176796, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40,229, <=50K
35, Private,538583, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40,230, <=50K
41, Private,130408, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,0,38,231, <=50K
25, Private,159732, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42,232, <=50K
33, Private,110978, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40,233, <=50K
28, Private,76714, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55,234, >50K
59, State-gov,268700, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40,235, <=50K
40, State-gov,170525, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38,236, <=50K
41, Private,180138, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50,237, >50K
38, Local-gov,115076, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70,238, >50K
23, Private,115458, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40,239, <=50K
40, Private,347890, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,240, >50K
41, Self-emp-not-inc,196001, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20,241, <=50K
24, State-gov,273905, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50,242, <=50K
20, ?,119156, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,20,243, <=50K
38, Private,179488, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40,244, <=50K
56, Private,203580, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35,245, <=50K
58, Private,236596, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45,246, >50K
32, Private,183916, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,34,247, <=50K
40, Private,207578, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,60,248, >50K
45, Private,153141, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40,249, <=50K
41, Private,112763, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40,250, >50K
42, Private,390781, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40,251, <=50K
59, Local-gov,171328, 10th,6, Widowed, Other-service, Unmarried, Black, Female,0,0,30,252, <=50K
